group,team,confederation,fifa_rank_apr2026,wc_titles,best_finish,wc_appearances,is_host,is_debut,elo_rating_2026,squad_market_value_eur_millions,key_player,notes
E,Ecuador,CONMEBOL,23,0,Round of 16,4,No,No,1740,260,Moisés Caicedo,Caicedo (Chelsea) world-class; Plata creative; underrated
F,Netherlands,UEFA,7,0,Runner-up,11,No,No,1940,980,Virgil van Dijk,Van Dijk (Liverpool) world's best CB; Gakpo/Depay attack
F,Japan,AFC,18,0,Round of 16,8,No,No,1800,510,Takefusa Kubo,Kubo/Mitoma/Endo elite; best Asian team; dark horse
F,Sweden,UEFA,37,0,Runner-up,12,No,No,1800,430,Alexander Isak,Isak (Newcastle) world-class; Kulusevski (Tottenham); contenders
F,Tunisia,CAF,47,0,Group stage,6,No,No,1640,150,Hannibal Mejbri,Hannibal (Birmingham) engine; Khazri veteran; rarely past groups
G,Belgium,UEFA,9,0,Third place,14,No,No,1900,950,Kevin De Bruyne,De Bruyne (Man City) GOAT level; Lukaku/Tielemans; 4th attempt
G,Egypt,CAF,33,0,Group stage,3,No,No,1690,260,Mohamed Salah,Salah (Liverpool) possibly final WC; must-win group
G,Iran,AFC,21,0,Group stage,6,No,No,1730,190,Mehdi Taremi,Taremi (Inter Milan) elite striker; defensive discipline
G,New Zealand,OFC,88,0,Group stage,2,No,No,1570,65,Chris Wood,Wood (Nottingham Forest); only OFC team; compete hard
H,Spain,UEFA,2,1,Winner,16,No,No,1990,1200,Pedri,Pedri/Yamal/Morata/Williams; deepest squad; tournament favourite
H,Cape Verde,CAF,70,0,First appearance,0,No,Yes,1540,90,Ryan Mendes,Historic debut; upset Cameroon; 2019 AFCON QF form
H,Saudi Arabia,AFC,58,0,Round of 16,6,No,No,1640,190,Saleh Al-Shehri,2022 upset Argentina; Al-Dawsari/Al-Shehri; Asian football rising
H,Uruguay,CONMEBOL,17,2,Winner,14,No,No,1890,620,Federico Valverde,Valverde (Real Madrid) world elite; Núñez/Araújo dangerous
I,France,UEFA,1,2,Winner,16,No,No,1990,1350,Kylian Mbappé,Mbappé chasing Klose record (needs 5 goals); Dembélé/Tchouaméni
I,Senegal,CAF,14,0,Quarter-finals,4,No,No,1780,440,Sadio Mané,Mané (Al-Nassr) AFCON champion; Diatta/Sarr dangerous
I,Iraq,AFC,56,0,Group stage,1,No,No,1620,70,Alaa Abbas,1986 only appearance; 40-year wait; Middle East darling
I,Norway,UEFA,32,0,Quarter-finals,3,No,No,1800,790,Erling Haaland,Haaland first WC; 28-year absence ends; can they go deep?
J,Argentina,CONMEBOL,3,3,Winner,19,No,No,1980,1080,Lionel Messi,Defending champions; Messi's last tournament; Di María/Álvarez
J,Algeria,CAF,36,0,Round of 16,4,No,No,1700,260,Riyad Mahrez,Mahrez (Al-Ahli) creative; 2014 surprise; generation transition
J,Austria,UEFA,24,0,Third place,7,No,No,1770,430,Marcel Sabitzer,28-year absence ends; Sabitzer/Laimer; Rangnick's system
J,Jordan,AFC,64,0,First appearance,0,No,Yes,1580,55,Musa Al-Tamari,First WC; 2023 Asian Cup runners-up; compact defensively
K,Portugal,UEFA,5,0,Semi-finals,8,No,No,1940,1050,Bruno Fernandes,Ronaldo's last WC likely; Félix/Fernandes/Leão carry next era
K,DR Congo,CAF,55,0,Group stage,1,No,No,1650,140,Chancel Mbemba,1974 as Zaire; Mbemba/Kakuta; talented squad
K,Uzbekistan,AFC,57,0,First appearance,0,No,Yes,1600,90,Eldor Shomurodov,First WC; Shomurodov (Cagliari) experienced; Central Asia's pride
K,Colombia,CONMEBOL,13,0,Quarter-finals,6,No,No,1870,680,Luis Díaz,Díaz (Liverpool) world-class; Arias/Córdoba; 2014 legacy
L,England,UEFA,4,1,Winner,16,No,No,1940,1300,Jude Bellingham,Bellingham (Real Madrid) best player; Saka/Palmer/Foden golden gen
L,Croatia,UEFA,11,0,Runner-up,8,No,No,1870,430,Luka Modrić,Modrić 39 years old; last WC; Kovačić/Gvardiol carry team
L,Ghana,CAF,73,0,Quarter-finals,4,No,No,1650,180,Mohammed Kudus,Kudus (West Ham) electric; Semenyo; rebuilding generation
L,Panama,CONCACAF,51,0,Group stage,1,No,No,1600,80,Ismael Díaz,2018 debut; physical; tough to beat; qualification is the prize
